URL,Version,Status,OIDs,Name,Title,Description,Used
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-claim-exemption-code,1.0.0,active,,BeCSClaimExemptionCode,Claim Exemption Code,"RT50Z23 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-claim-norm-code,1.0.0,active,,BeCSClaimNormCode,Claim Norm Code,"RT50Z3 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-claim-transplantation-code,1.0.0,active,,BeCSClaimTransplantationCode,Claim Transplantation Code,"RT50Z48 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-hospital-service-cd,1.0.0,active,,BeCSHospitalServiceCd,Hospital Service Code,"Annex 16.15 (2.C) in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-input-type,1.0.0,active,,BeCSIdDocInputType,Id Doc Input Type,"RT52Z9 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-manual-input-justification,1.0.0,active,,BeCSIdDocManualInputJustification,Id Doc Manual Input Justification,"RT52Z3 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-media-type,1.0.0,active,,BeCSIdDocMediaType,Id Doc Media Type,"RT52Z10 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-vignette-use-justification,1.0.0,active,,BeCSIdDocVignetteUseJustification,Id Doc Vignette Use Justification,"RT52Z11 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-mycarenet-speech-therapy-pathology-situation-code,1.0.0,active,,BeCSMyCareNetSpeechTherapyPathologySituationCode,MyCareNet Speech Therapy Pathology Situation code,"Texte de la nomenclature (Article 36, par. 2)",
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-requester-norm,1.0.0,active,,BeCSRequesterNorm,Prescriber Standard,"RT50Z26 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",
