Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.terminology.json	54970	-	0	0	0	0	0	0	47	133	0	0	0	0	0	0	0	2	0	0	185	271	0	0	0	23	0	3
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatus.json	3265	5	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	87	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatusReason.json	3892	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	65	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineOriginType.json	1848	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineRegistrationStatus.json	1542	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	50	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationRequestReimbursementType.json	4372	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	61	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BeMedicationType.json	1495	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSSQSIConditions.json	1298	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-PSSQSIProcedures.json	1298	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSSRatingTypes.json	1535	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-albert.json	1218	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-annex81-status-reason.json	1403	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	44	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-bodysite.json	1326	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-care-location.json	7700	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	73	0	0	0	4	0	0
