URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1377",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","ValueSet/BeMedicationPrescriptionStatusVS"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/be-vs-gender-at-birth"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/be-vs-task-intent,ValueSet/be-vs-request-intent"
http://hl7.org/fhir/restful-interaction,4.0.1,active,,FHIR Restful Interactions,,"The set of interactions defined by the RESTful part of the FHIR specification.","ValueSet/eagreementmessage"
http://hl7.org/fhir/sid/icd-10-cm,2026-04-01,active,"2.16.840.1.113883.6.90",ICD_10_CM,International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM),"International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM)","ValueSet/PregnancyCodes,ValueSet/OncologyPatientCodes,ValueSet/GonokokCodes,ValueSet/CompromisedImmuneSystemCodes,ValueSet/ChlamydiaCodes"
http://hl7.org/fhir/sid/icpc-2,2.1.0,active,"2.16.840.1.113883.6.139",Icpc2E,International Classification of Primary Care, second edition (1998),"International Classification of Primary Care / prepared by the Classification Committee of the World Organization of National Colleges, Academies and Academic Associations of General Practitioners/Family Physicians (WONCA), known more briefly as the World","ValueSet/OncologyPatientCodes,ValueSet/CompromisedImmuneSystemCodes"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/be-vs-vaccination-reason-code,ValueSet/be-vs-request-note-type,ValueSet/be-vs-requested-services-nurse,ValueSet/be-vs-patientwill-scope,ValueSet/be-vs-vaccine-code,ValueSet/CandidaCodes,ValueSet/be-vs-laterality,ValueSet/be-vs-requested-services-nurse-detail,ValueSet/BeVSPopulationScreeningFollowUpAdvice,ValueSet/be-vspopulationscreening-body-site-location,ValueSet/BacterialCodes,ValueSet/TrichomonasCodes,ValueSet/MycoplasmaCodes,ValueSet/OncologyPatientCodes,ValueSet/be-vs-bodysite-nursing,ValueSet/be-vs-annex-81-reason-code,ValueSet/be-populationscreening-result-vs,ValueSet/be-vs-vaccination-bodysite,ValueSet/be-vs-score,ValueSet/be-riskmanifestation,ValueSet/be-noallergy,ValueSet/BeMedicationExposureIntentVS,ValueSet/GonokokCodes,ConceptMap/BeCMISOToothSnomedCT,ValueSet/be-exposureroute,ValueSet/CompromisedImmuneSystemCodes,ValueSet/ChlamydiaCodes,ValueSet/be-causativeagent,ValueSet/be-vs-basic-laterality,ValueSet/be-vs-allergyintolerance-type,ValueSet/be-vs-patient-relationship-type,ValueSet/OtherCodes,ValueSet/be-vs-populationscreening-type,ValueSet/PregnancyCodes,ValueSet/be-vs-referral-category,ValueSet/be-vs-reaction-manifestation-code,ValueSet/BeRouteOfAdministrationVS,ValueSet/be-vs-toothnumber-bodysite"
http://terminology.hl7.org/CodeSystem/v2-0131,3.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/be-contactperson"
http://terminology.hl7.org/CodeSystem/v3-ActReason,4.0.0,active,"2.16.840.1.113883.5.8",ActReason,ActReason,"A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.    *Examples:* Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".","ValueSet/be-vs-performer-task-status-reason,ValueSet/be-vs-vaccination-status-reason"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,4.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/be-civilstate"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,4.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/be-vs-vaccination-administration-route,ValueSet/be-civilstate"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-claim-exemption-code,1.0.0,active,,BeCSClaimExemptionCode,Claim Exemption Code,"RT50Z23 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-claim-exemption-code"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-claim-norm-code,1.0.0,active,,BeCSClaimNormCode,Claim Norm Code,"RT50Z3 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-claim-norm-code"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-claim-transplantation-code,1.0.0,active,,BeCSClaimTransplantationCode,Claim Transplantation Code,"RT50Z48 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-claim-transplantation-code"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-hospital-service-cd,1.0.0,active,,BeCSHospitalServiceCd,Hospital Service Code,"Annex 16.15 (2.C) in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-hospital-service-cd"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-input-type,1.0.0,active,,BeCSIdDocInputType,Id Doc Input Type,"RT52Z9 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-id-doc-input-type"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-manual-input-justification,1.0.0,active,,BeCSIdDocManualInputJustification,Id Doc Manual Input Justification,"RT52Z3 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-id-doc-manual-input-justification"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-media-type,1.0.0,active,,BeCSIdDocMediaType,Id Doc Media Type,"RT52Z10 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-id-doc-media-type"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-vignette-use-justification,1.0.0,active,,BeCSIdDocVignetteUseJustification,Id Doc Vignette Use Justification,"RT52Z11 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-id-doc-vignette-use-justification"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-requester-norm,1.0.0,active,,BeCSRequesterNorm,Prescriber Standard,"RT50Z26 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-requester-norm"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-speech-therapy-pathology-situation-code,1.0.0,active,,BeCSSpeechTherapyPathologySituationCode,Speech Therapy Pathology Situation code,"Texte de la nomenclature (Article 36, par. 2)","ValueSet/be-vs-speech-therapy-pathology-situation-code,ValueSet/eagreementproductorservice"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-treatment-reason,1.0.0,active,,BeCSTreatmentReason,Treatment Reason,"RT20Z17 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-treatment-reason"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-bodysite,1.0.0,active,,BeCSBodySite,Body Site CodeSystem,"Body Site CodeSystem","ValueSet/be-vs-bodysite"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-problem-category,1.0.0,active,,BeCSProblemCategory,Problem Category,"Problem Category","ValueSet/be-vs-problem-category"
